2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://www.w3.org/2004/02/skos/core#Concept with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://www.w3.org/2004/02/skos/core#Concept with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://www.w3.org/2002/07/owl#DatatypeProperty with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://www.w3.org/2002/07/owl#DatatypeProperty with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://www.w3.org/2002/07/owl#FunctionalProperty with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://www.w3.org/2002/07/owl#FunctionalProperty with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://www.w3.org/2002/07/owl#TransitiveProperty with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://www.w3.org/2002/07/owl#TransitiveProperty with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Country with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Country with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#ExtendedPlace with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#ExtendedPlace with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Place with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Place with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#PopulatedPlace with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#PopulatedPlace with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#AdministrativeDivision with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#AdministrativeDivision with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#City with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#City with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Island with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Island with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Archipelago with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Archipelago with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#NaturalRegion with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#NaturalRegion with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Region with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Region with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Mountain with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Mountain with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#NaturalElevation with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#NaturalElevation with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Volcano with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Volcano with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Building with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Building with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Hospital with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Hospital with geometry
